[2026-04-22T23:31:32.041Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:32.092Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:32.142Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:32.243Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:32.297Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:32.350Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:32.391Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:32.456Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:32.502Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:32.547Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:32.593Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:32.639Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:33.373Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:33.426Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:33.479Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:33.565Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:33.627Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:33.674Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:33.721Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:33.766Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:33.813Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:33.861Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:33.911Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:34.348Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:34.399Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:34.460Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:34.526Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:34.575Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:34.616Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:34.965Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:35.021Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:35.062Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:35.130Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:35.193Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:35.239Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:35.649Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:35.695Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:35.742Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:35.790Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:39.606Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.007Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.061Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.110Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.156Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.210Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.277Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.324Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.370Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.418Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.464Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.518Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:25.559Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:26.110Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:26.159Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:26.206Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:26.253Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:26.305Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:26.377Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:26.423Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:26.498Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:26.827Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:26.875Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:26.928Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:32:27.105Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:29.607Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:29.682Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:29.981Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:30.052Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:30.437Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:30.487Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:30.535Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:30.583Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:30.631Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:30.708Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:30.749Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:30.825Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:31.098Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:31.156Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:31.282Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:31.444Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
